Laforet, Carmen;Nada;"[""Spanish language books"",""Readers"",""Bildungsromans"",""Spanish literature"",""Criticism and interpretation"",""Spanish language"",""Fiction"",""Women college students"",""Spanish fiction"",""Social conditions"",""Family relationships"",""Women"",""History"",""Historia"",""Mujeres"",""Ficción"",""Spain, fiction"",""Barcelona (spain), fiction"",""Fiction, historical"",""Fiction, historical, general""]";295;/works/OL1315173W;OL18371325M
Lagerkvist, Par;Barabbas;"[""Barabbas"",""Criminals"",""Fiction"",""Roman"",""Bible"",""History of Biblical events"",""Biblical teaching"",""Swedish literature"",""Parables""]";;/works/OL1327453W;OL13567658M
Lagerlöf, Selma;Gösta Berling’s Saga;"[""Fiction, romance, general""]";;/works/OL15230752W;OL20189990M
Lahiri, Jhumpa;The Namesake;"[""Alienación (Psicología social)"",""Alienation (Social psychology)"",""Appreciation"",""Asimilación cultural"",""Assimilation (Sociology)"",""Children of immigrants"",""East Indian Americans"",""Estadounidenses de India Oriental"",""Ficción"",""Fiction"",""Hijos de inmigrantes"",""Jóvenes (Hombres)"",""Novela hogareña"",""Young men"",""Bildungsromans"",""Massachusetts, fiction"",""Fiction, coming of age"",""Fiction, family life"",""Asian americans, fiction"",""Large type books""]";304;/works/OL2001062W;OL7468700M
Lao, She;Rickshaw Boy;"[""Fiction"",""Rickshaw men"",""Poor""]";383;/works/OL51427W;OL6484336M
Larsen, Nella;Quicksand;"[""African americans, fiction"",""Young women, fiction"",""New york (n.y.), fiction"",""Copenhagen (denmark), fiction"",""Fiction, general"",""African American women"",""Danish American women"",""Fiction"",""Racially mixed people"",""Young women"",""open_syllabus_project"",""American fiction""]";;/works/OL2645473W;OL27868832M
Larsen, Nella;Passing;"[""Fiction"",""Passing (Identity)"",""African American women"",""Human skin color"",""Female friendship"",""Married women"",""Racially mixed people"",""Identity (Psychology)"",""Criticism and interpretation"",""Afro-Americans"",""Race relations"",""open_syllabus_project"",""African American women -- Fiction."",""Racially mixed people -- Fiction."",""Identity (Psychology) -- Fiction."",""Passing (Identity) -- Fiction."",""Female friendship -- Fiction."",""Human skin color -- Fiction."",""Married women -- Fiction."",""New York (N.Y.) -- Fiction."",""Fiction, psychological"",""African americans, fiction"",""Friendship, fiction"",""Married people, fiction"",""New york (n.y.), fiction"",""Fiction, african american, general"",""Fiction, african american & black, general"",""American literature""]";215;/works/OL2645476W;OL23661073M
Laurence, Margaret;The Diviners;"[""Fiction in English"",""Fiction, general"",""Canada, fiction""]";467;/works/OL10612112W;OL20930190M
Lautréaumont, Comte de;Maldoror;;;;
Lawrence, D.H.;Sons and Lovers;"[""Fiction"",""England in fiction"",""Working class families"",""Young men in fiction"",""Working class families in fiction"",""Young men"",""Facsimiles"",""Social life and customs"",""England"",""Manuscripts"",""English Manuscripts"",""Coal mines and mining"",""Domestic fiction"",""Coal mines and mining in fiction"",""Customs and Manners"",""Classic Literature"",""Mothers and sons"",""Married women"",""Possessiveness"",""Coal miners"",""open_syllabus_project"",""Working class families -- Fiction"",""Young men -- Fiction"",""England -- Fiction"",""British and irish fiction (fictional works by one author)"",""England, fiction"",""Fiction, family life"",""Fiction, coming of age"",""Fiction, biographical"",""Large type books""]";;/works/OL81295W;OL22813784M
Lawrence, D.H.;The Rainbow;"[""Fiction"",""Families"",""Family"",""Families in fiction"",""Family in fiction"",""Domestic fiction"",""Romance Ingles"",""Religious Psychology"",""Religion"",""Psychoanalysis"",""British and irish fiction (fictional works by one author)"",""England, fiction"",""Fiction, visionary & metaphysical"",""Fiction, sagas"",""English literature"",""Social life and customs"",""Manners and customs"",""FICTION"",""General""]";;/works/OL81293W;OL21482913M
Lawrence, D.H.;Women in Love;"[""Romance"",""Classic Literature"",""Male friendship"",""Open Library Staff Picks"",""Fiction"",""Social classes"",""Social conditions"",""Interpersonal relations"",""open_syllabus_project"",""Sisters"",""Coal mines and mining"",""Coal miners"",""Women"",""British and irish fiction (fictional works by one author)"",""England, fiction"",""Sisters, fiction"",""Fiction, psychological"",""Friendship, fiction"",""Fiction, romance, general"",""Women teachers"",""Fiction, general"",""Sexual behavior"",""Fiction, fantasy, short stories"",""Large type books""]";;/works/OL81294W;OL22820783M
Lawrence, D.H.;The Fox;"[""Fiction"",""Novellas"",""Relationships"",""Fiction, general"",""Young women, fiction"",""Germany, fiction""]";;/works/OL7965949W;OL24629324M
Lawrence, D.H.;Aaron’s Rod;"[""Classic Literature"",""Fiction"",""English Romance fiction"",""Brothers and sisters"",""British and irish fiction (fictional works by one author)""]";290;/works/OL81290W;OL21482789M
Lawrence, D.H.;The Plumed Serpent;"[""Fiction"",""Revolutions"",""Revolutions in fiction"",""Mexico in fiction"",""Widows in fiction"",""Widows"",""Religion and mythology"",""Romance Ingles"",""Aztecs"",""Quetzalcoatl (Aztec deity)"",""Fiction, general""]";;/works/OL81191W;OL18770097M
Lawrence, D.H.;Lady Chatterley’s Lover;"[""Fiction"",""Adultery"",""Married women"",""Gamekeepers"",""Sexual behavior"",""England"",""Man-woman relationships"",""Aristocracy (Social class)"",""Runaway wives"",""Nobility"",""British and irish fiction (fictional works by one author)"",""Married people, fiction"",""England, fiction"",""Man-woman relationships, fiction"",""Fiction, erotica"",""Great britain, fiction"",""Fiction, general"",""Large type books"",""Wives"",""Fiction, erotica, general""]";;/works/OL16108167W;OL18332205M
Laxness, Halldór;Independent People;"[""Fathers and daughters"",""Sheep ranchers"",""Fiction""]";;/works/OL7922786W;OL8244849M
Laye, Camara;The Dark Child;"[""Biography""]";188;/works/OL260366W;OL21999371M
Le Carré, John;The Spy Who Came in from the Cold;"[""Fiction"",""Cold War"",""Intelligence officers"",""Intelligence service"",""English Spy stories"",""Spies"",""George Smiley (Fictitious character)"",""Cold War (1945-1989) fast (OCoLC)fst01754978"",""Spy stories"",""Smiley, george (fictitious character), fiction"",""Fiction, thrillers, espionage"",""Large type books"",""Literature and fiction, mystery and suspense""]";;/works/OL15723140W;OL21486815M
Le Carré, John;Tinker Tailor Soldier Spy;"[""Fiction"",""Intelligence service"",""George Smiley (Fictitious character)"",""Fiction in English"",""Smiley, George (Fictitious character)"",""Large type books"",""Undercover operations"",""Fiction, thrillers, espionage"",""Smiley, george (fictitious character), fiction"",""Great britain, fiction""]";349;/works/OL15723131W;OL5119657M
Le Carré, John;Smiley’s People;"[""John le Carré"",""America's #1 Bestseller"",""Fiction"",""Book"",""Books"",""Literature"",""Stories"",""Story"",""Espionage"",""British"",""Secret Service"",""Detective"",""Mystery"",""Suspense"",""Thriller"",""Spy stories"",""Large type books"",""George Smiley (Fictitious character)"",""Smiley, george (fictitious character), fiction"",""Fiction, thrillers, espionage""]";;/works/OL15723133W;OL17850555M
Le Fanu, Sheridan;Uncle Silas;"[""Uncles"",""Orphans"",""Fiction"",""Governesses"",""Murderers"",""Fiction, thrillers"",""England, fiction"",""Fiction, thrillers, general"",""Fiction, psychological"",""Large type books""]";;/works/OL2895543W;OL21474390M
Le Fanu, Sheridan;In a Glass Darkly;"[""English Fantasy fiction"",""English Ghost stories"",""English Occult fiction"",""Fiction"",""Horror"",""Short Stories"",""Supernatural"",""English Paranormal fiction"",""Paranormal fiction"",""Ireland, fiction"",""Fiction, short stories (single author)"",""English fiction Short stories""]";;/works/OL2895538W;OL13561841M
